,Establishment,Rating,Review Count,Address,countryCode,District,Star Rating,Distance,Level,type,image
112,Hotel,9.5,4146,Odborů 4,cz,Prague 2,4,1.1,L3,GOLD,https://cf.bstatic.com/xdata/images/hotel/square600/261227323.jpg?k=5c3a24428d869e3249e244397c6dbf4e876f492d57d2044954acc6936dca9c26&o=
113,Hotel,0.0,4653,Senovážné náměstí 981/21,cz,Prague 1,3,0.8,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/201231811.jpg?k=85665a2ec985dc56354cf25a93362600aaeb3bb8345eaec46ae0b70a94c80da3&o=
114,Hotel,9.7,751,Staromestske Namesti 481/22,cz,Prague 1,4,0.04,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/42921582.jpg?k=02992af3b1be84641a5c5fd9629ee1dc619d5e8497ad3685d30c1ca2f060a886&o=
115,Apartment,9.3,236,Újezd 421/16,cz,Prague 1,3,1.3,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/373761476.jpg?k=27a8150cf56e6da2c26182f40c8c73b78894d25e11793e58c4e210929dc7ebc9&o=
116,Apartment,9.6,65,19 Anglicka 1.patro,cz,Prague 2,4,1.5,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/109411487.jpg?k=e94fd2375f55d67ed0a177f9fbc1dd0de44eb1470f4d2d8a53ec702128053848&o=
117,Apartment,9.9,187,Anežská 3,cz,Prague 1,3,0.6,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/414174234.jpg?k=be5f87cef8424e0841f120eb0284581d09c69828e04ef5fb02242d8812ebe45f&o=
118,Hotel,0.0,181,Janackovo nab. 15,cz,Prague 5,5,1.7,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/402109542.jpg?k=f866739bba7bb9c334e60c1135494d3ce955d9df0b3a0b226b3186b0ddba1a0b&o=
119,Hotel,0.0,4914,Koulova 15,cz,Prague 6,4,3.1,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/244634657.jpg?k=a2ab9267bef1d5ce7290d476b8b685088826d5d9d276151f5e4fe9b6f3c53a57&o=
120,Apartment,9.4,136,Opletalova 8,cz,Prague 1,4,0.9,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/183857207.jpg?k=0da050a983c81cdc75f8adb7d90f2c890896018106a89cd375e75c40852ce877&o=
121,Apartment,9.7,488,Karlova 21,cz,Prague 1,4,0.2,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/421851629.jpg?k=f9142db8bb74d849c49e3bfad8200f7e2f3c3722217d6410e4af823b435a2877&o=
122,Hotel,0.0,519,1380 Koněvova,cz,Prague 3,4,0.003,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/374363648.jpg?k=3738bd7370c76f975f12c2bc63c8ad55a41f8c59100097be598c8e3fb23ae74d&o=
123,Hotel,0.0,5812,Vinohradska 105,cz,Prague 3,4,2.5,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/181514847.jpg?k=fd14469a4ce54f234c865d7143cbf7b632aa3df7e847c85dbfe89922aa6ac41a&o=
